Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu,,,,,,
2017,2,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),728.09,,,,,,
2017,2,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),656.71,,,,,,
2017,2,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),724.28,,,,,,
2017,2,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),783.88,,,,,,
2017,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),765.74,,,,,,
2017,2,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),740.91,,,,,,
2017,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),907.14,,,,,,
2017,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),1345.63,,,,,,
2017,2,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),899.89,,,,,,
2017,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),965.36,,,,,,
2017,2,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),606.61,,,,,,
2017,2,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),941.16,,,,,,
2017,2,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),750.71,,,,,,
2017,2,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),671.87,,,,,,
2017,3,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),764.85,,,,,,
2017,3,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),1028.49,,,,,,
2017,3,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),758.18,,,,,,
2017,3,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),927.16,,,,,,
2017,3,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),933.54,,,,,,
2017,3,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),906.78,,,,,,
2017,3,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),1179.11,,,,,,
2017,3,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),1098.21,,,,,,
2017,3,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),950.15,,,,,,
2017,3,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),922.46,,,,,,
